STT,Store Code,Store Name,Address,Region,Province,District,Latlong,,
125,257,HCM - 202 Kinh Duong Vuong,"202 Kinh Dương Vương, KP 4, Phường An Lạc A, Quận Bình Tân, TP HCM",HCM,Ho Chi Minh,Binh Tan,"10.7454474, 106.6230862",,
126,259,LAN - 167 Quoc Lo 62,"3 kios nhà số 167 Quốc lộ 62, Phường 6, Thành phố Tân An, Tỉnh Long An",Mekong1,Long An,Tan An,"10.5436736, 106.3949053",,
127,261,PYN - 287B Tran Hung Dao,"287B Trần Hưng Đạo, P.4, Tp. Tuy Hòa, Phú Yên",Central2,Phu Yen,Tuy Hoa,"13.0870485, 109.3094384",,
128,263,NTH - 414-418 Ngo Gia Tu,"414-418 Ngô Gia Tự, Tp. Phan Rang, Tháp Chàm, Ninh Thuận",Central1,Ninh Thuan,Thap Cham,"11.5580921, 108.9929166",,
129,264,HNI - 933 La Thanh,"933 Đê La Thành, P. Ngọc Khánh, Quận Ba Đình, TP. Hà Nội",North,Ha Noi,Ba Dinh,"21.0269875, 105.8095799",,
130,266,VLO - Nguyen Van Thanh,"Đường Nguyễn Văn Thảnh, Tổ 24, Khóm 5, Phường Thành Phước, Thị Xã Bình Minh, Tỉnh Vĩnh Long",Mekong2,Vinh Long,Binh Minh,"10.0612013, 105.8000105",,
131,267,AGI - 126 Tran Phu,"Số 126, đường Trần Phú, TT Phú Hòa,huyện Thoại Sơn ,tỉnh An Giang",Mekong2,An Giang,Thoai Son,"10.3599285, 105.376598",,
132,268,CMA - 158 Quoc Lo 1A,"158 , đường QL1A ,xã Tắc Vân, thành phố Cà Mau tỉnh Cà Mau",Mekong2,Ca Mau,Ca Mau,"9.168101499999999, 105.2688421",,
133,269,STR - 79-81 Hung Vuong,"79-81, đường Hùng Vương, phường 6 , thành phố Sóc Trăng tỉnh Sóc Trăng",Mekong2,Soc Trang,Soc Trang,"9.6120524, 105.9690854",,
134,270,BDU - 1111B Ap Vinh Phuoc,"1111B, ấp Vĩnh Phước tổ 11, xã Thái Hòa, Tân Uyên, Bình Dương",SouthEast2,Binh Duong,Tan Uyen,"10.9668166, 106.7340408",,
135,271,DON - 121A-123 CMT8,"121A - 123 CMT8, TP. Biên Hoà, Tỉnh Đồng Nai.",SouthEast2,Dong Nai,Bien Hoa,"10.9499162, 106.8127187",,
